experiment,dice_mean,dice_std,iou_mean,iou_std
unet_256_bce,0.7239564657211304,0.029629401862621307,0.6280657052993774,0.030852369964122772
unet_256_bce_dice,0.743121325969696,0.015510760247707367,0.6457167863845825,0.017589237540960312
unet_256_dice,0.7092546820640564,0.03594430908560753,0.6107092499732971,0.03680257499217987
unet_512_bce_dice,0.685405433177948,0.011296088807284832,0.5768095254898071,0.012658829800784588
