fold,dice,iou,best_epoch,best_val_dice
0,0.7235003709793091,0.6282292604446411,49,0.7235003709793091
1,0.667276918888092,0.568979799747467,43,0.667276918888092
2,0.7465012073516846,0.6463490724563599,50,0.7465012073516846
3,0.7471764087677002,0.6557380557060242,39,0.7471764087677002
4,0.7353273630142212,0.6410322785377502,38,0.7353273630142212
